Number, Project,Link
1,Study on Infrastructure Functionality in Rural Communities,index-1.qmd
2,Study on Goat Disease Prevalence in Three Cities of Malawi,index-2.qmd
3,Behaviour change and communication,index-3.qmd
4,Antimicrobial Resistance,index-4.qmd
5,Water resilience,index-5.qmd
6,Social media influence on digital banking,index-6.qmd
7,Menstual Hygiene Management Interventions,index-7.qmd
8,Solid waste burning,index-8.qmd
9,Modelling of Sludge quantities in Onsite Sanitation,index-9.qmd
10,Relationships of microbial communities in Farms,index-10.qmd
11,Still births,index-11.qmd
12,User Behaviour and Bandwidth Utilisation Analysis,index-12.qmd
13,KAP on Waste Management in Health facilities,index-13.qmd
14,Development of Business Model Around SWM,index-14.qmd
15,Physico-chemical characteristics of WWTP effluent,index-15.qmd
16,Chicken parts and microbes,index-16.qmd
17,KAP on Waste Management in Health facilities,index-17.qmd
